월,일,커뮤니티,타사명/키워드,제목,본문(내용),URL
3,6,디시인사이드,메가,생각보다 이동중에 카페 들리는 애들있네,"본관이랑 스관 수업이나 식사 이동하면서보니까
그 바로 앞에 씨유 아니면 메가커피 많이들 가네
근데 뭐 들고 들어가도 안 잡음?
누구 꼰지를 생각은 없음",https://gall.dcinside.com/mgallery/board/view/?id=dshw&no=251970
3,6,디시인사이드,메가,내친구 강북메가스터디 들어갔는데,거기가 더빡셈 토요일 의무자습에 핸드폰 보관함 자물쇠로 걸어잠궈서 아예 못쓰고 영단어 테스트보고 영어듣기하고 매일 계획표짜서 검사받아야함,https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2603576
3,6,디시인사이드,메가,올해는메가패스안사야지,안사도될거같아서,https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10693620
3,6,디시인사이드,메가,메가스터디 국어 추천좀,국어 노베이스인데 강기본 수국김 둘중 어떤게 좋냐,https://gall.dcinside.com/board/view/?id=exam_new2&no=1834157
3,6,디시인사이드,메가,반수생 인강 어디들을지 추천ㄱㄱ,"수학, 사탐런(생윤사문 예상), 수리논술 들을거임 메가가 베스트같은데 맞나?",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10691881
3,6,디시인사이드,메가,수능 1타가 메가면 내신 1타는 어디라고 생각하냐?,메가는 솔직히 내신 수행 커버치는거 없다고 생각해서.. 그냥 수능 강의가 내신 포함된 느낌이라,https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10691832
3,6,디시인사이드,메가,수학 메가 김성은 들을만하냐,"일단 난 작수 5에 현역 수포 문과게이임
현우진 개정전 시발점을 듣고있는데 몇 문제 풀다가 스텝 1이나 2에 있는건 막히고 반복중임
최종목푠 3이고 6모에 4이상 꼭 맞고싶은데 김성은 무불개가 나같은 애들 개념공부에 ㄱㅊ다던데 지금 들어도 ㄱㅊ?",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10691089
3,6,디시인사이드,메가,메가인강에 윤지환비슷하게 가르치는 강사 없나,"윤지환식 풀이 추구하는데 반수반 드갈때까지 인강으로 떼우려고함
있으면 알려죠",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2602736
3,6,디시인사이드,메가,메가스터디 사회문화 김제니 닮은꼴,배우 정혜성,https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10690742
3,6,디시인사이드,재종,재종 앞이나 한티에서 의대 과잠보면 열등감 ㅈㄴ들음,나만 그러냐 ㅈ같네 그냥,https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2604253
3,6,디시인사이드,재종,강기원 단과 들어본사람 와보셈,재종 수업 대충하는거임?? 난 모르겠던데,https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2604233
3,6,디시인사이드,재종,이동선 덕분에 행복 재종생활함,걍 목요일이 ㅈㄴ기다려짐,https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2604231
3,6,디시인사이드,재종,고광수 단과 후기,"20명도 안 들음
재종 수업보다 밀도 높다길래 들었더니 여전히 잡소리가 반이상임
그걸 3시간동안 듣고있으려니 정신없음
그냥 김재훈이나 들어야겠다
이상.",https://gall.dcinside.com/mgallery/board/view/?id=dshw&no=252124
3,6,디시인사이드,재종,소수과 다니는 부엉이의 머쓱한 썰,"재종 다닐때 마녀 인스타 염탐하다가 차단당함
아쉽구나.. 하고서 대학 감
나 2학년 되고서 새터갔는데 1학년 신입생 중에서
작년에 재종에서 본 여붕이가 있는거임
근데 그 여붕이가 내가 염탐한 마녀랑 친했음
(요즘도 만나더라)
그래서 참 세상 좁다.. 생각하고 있었는데
어느날 보니까 차단 풀려있더라
그래서 내 얘기 나온건가 좀 쫄렸음",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2604091
3,6,디시인사이드,재종,김범준 재종에선 더 막나가네,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 언급 수위제한이 없음,https://gall.dcinside.com/mgallery/board/view/?id=csatlecture&no=295281
3,6,디시인사이드,재종,홍지운 ebs 확실히 매리트 있는듯,"재종생들만 나눠주는자료 인강에서 독점에서 주는건
새로e 나름 평도 좋던데
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10694319
3,6,디시인사이드,재종,재종시작 2주...뒷자리형님 사문노트 입갤ㅋㅋ,나진환 오열 ㅋㅋㅋ,https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2603962
3,6,디시인사이드,재종,제발 가오좀 잡지마라,ㅈ같이 빻았는데 재종 와서 가오 잡고 건들거리는 애들 진짜 너무 꼴보기싫음,https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2603696
3,6,디시인사이드,재종,시대재종 s반 질문받는다,ㄱㄱ,https://gall.dcinside.com/mgallery/board/view/?id=csatlecture&no=295221
3,6,디시인사이드,재종,둘 중에 어떤게 낫냐? ㅅㅂ,"재종까지 등하원 해야되는데 경로 추천좀 ㄱㄱ
보라색은 gtx 노란색은 수인분당선임
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2603643
3,6,디시인사이드,재종,번따해서 그냥 수업이랑 재종생활 얘기만 계속 하는데,"뭔 얘기 더해야하지
주말에 같이 밥먹기로함",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2603621
3,6,디시인사이드,재종,퇴원당하면 이제 모든 재종 못드가는거 아니냐,"ㅇㅇ
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2603619
3,6,디시인사이드,재종,수학 강의 따라가기가 벅찬데 어카냐..,"그냥 말 그대로 재종 수학 강의가 나한테는 전부 어려움...나는 아직도 쌤이 설명해주신 거 이해하려고 노력하고 있는데 수업은 계속 훅훅 나가니까 따라갈 수가 없음ㅠㅜㅜㅜㅠ 다른 애들은 다 이해하는 것 같은데 나만 걍 벙쪄있고...내가 수업 수준에 안 맞는 건지 이 학원 자체 수준에 딸리는 건지....너무 우울하다
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2603602
3,6,디시인사이드,재종,온택트 후기&질문받는다,"보통 재종안가는 애들이 단과 독재르 많이 선택하는데 여긴
재종 4강좌 영상 제공해주는 관독이고 강대컨도 받을수있어서
뭔가 그 가려운부분을 긁어주긴하는데 살짝 부족한느낌??
난 컨텐츠 걱정 안해도되서 나쁘지않은거같음
아쉬운건 선생님들 관리가 좀 약하다는거?",https://gall.dcinside.com/mgallery/board/view/?id=dshw&no=251931
3,6,디시인사이드,재종,일고닉 어쩔려고 벌써 잘림?ㅋㅋㅋ,"이제 평생 재종 못 가는데 ㅋㅋㅋ
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2603433
3,6,디시인사이드,재종,박종민 커리,"재종인데 박종민 개념 몇주차까지 나감?
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2603394
3,6,디시인사이드,재종,카S 재종생인데,"오늘 조퇴했고, 요즘따라 10시 전까지 공부할 땐 졸린데, 그 후에 잘 때는 또 아예 잠이 안 와요. 이거 어떻게 해야 할까요?",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2603386
3,6,디시인사이드,재종,진지하게 살면서 다녔던 모든 학교보다 시대인재 재종이,"재밌고 성향에 맞음..
응 개찐따내향형도태부남이야",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2603380
3,6,디시인사이드,재종,과탐으로 위장해서 시대재종 다시 갈까,"한번 갔었으면 걸리려나
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10692887
3,6,디시인사이드,재종,근데 재종에선 현우햄이 압도적이던데,단과랑 달리 기원햄은 왤캐 안빨림? 자료때문임?,https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2603081
3,6,디시인사이드,재종,재종에서 아는형이랑 한판함ㅅㅂ,"내가 볼펜 한자루 떨어뜨렸거든?
그래서 주우려고 상체를 숙였는데, 그때 마침 내 뒤에 앉은 조용하고 음침한 느낌의 의대 준비하는 형이 내 레깅스 자국을 본 거임...
사실 예전부터 수상했어.
나한테 인강 자료 줄 때 손이 꼭 닿고, 독서실 칸막이 사이로 자꾸 나 쳐다보는 느낌이었거든...
근데 하필 그날 내가 운동 갔다가 바로 학원와서...
티팬티에 얇은 트레이닝 바지 입고 있었단 말이지;;;
그날 저녁 자습 끝나고 나가려는데, 그 형이 갑자기 내 귀에 대고
""너 티팬티 입은 거 알거든. 5층 남자 화장실 끝 칸, 지금 따라와.""
속삭이는 거임;;;
솔직히 당황했는데 뭔가 궁금하고...
그냥 따라가버렸어ㅠㅠ
그러더니 칸 안에서 이러쿵저러쿵 하다가
결국 내 팬티 달라고 하더라...?
진짜로 내놨음...
그 날 이후로 걔가 나한테 영단어 테스트 대신
""애널비즈 끼고 단어 외워오기"" 같은 미션을 줬고
나... 그 상태로 모의고사까지 봤어...ㅠㅠㅠ",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10691890
3,6,디시인사이드,재종,국어 현강 은근은근 쓸데없는 것 같은데,또 막상 버리기에는 작년 재종다니던 친구가 추천해서 좀,https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10691568
3,6,디시인사이드,재종,기하 의외로 남녀 반반인듯,"정병훈 들으러 재종 갔음
기하 수업이라 다 남자일줄 알았는데
의외로 남녀 반반쯤 되는듯 ㅋㅋㅋㅋ",https://gall.dcinside.com/mgallery/board/view/?id=csatlecture&no=295085
3,6,디시인사이드,재종,대학 1주차 현실,"신설과라 오티x 새터x 과소모임도 없으니까 재종에서보다 말을 더 안함
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10691490
3,6,디시인사이드,재종,정승제 <- 시대재종 오면 받냐?,ㅇㅇ,https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2602852
3,6,디시인사이드,재종,정석킥,"단과에서는 주건지랑 월간지 주는거임?
재종이라 안 주는건가
히든트랙이랑은 다른거임?",https://gall.dcinside.com/mgallery/board/view/?id=csatlecture&no=295055
3,6,디시인사이드,재종,의대관은 왜 터진걸까,다른재종들은 멀쩡한것같은데,https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2602623
3,6,디시인사이드,재종,근데 재종에,"갤러들 비중 몇프로나 될까 ?
대부분 os반이려나
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2602617
3,6,디시인사이드,관리형독서실,단과안들을꺼면 관리형 독서실 가는게 나음?,ㅇㅇ? 그정도로 별로여?,https://gall.dcinside.com/mgallery/board/view/?id=russelmg&no=46875
3,6,디시인사이드,관리형독서실,관리형 독서실 앉아서 유튜브 보기 가능?,"폰 낸다쳐도
패드는 안 겉어 갈거 아냐",https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=10693249
3,6,디시인사이드,관독,** 얘들아 의견 좀 **,"1학년 휴학이 안 됨
1학년 1학기 자퇴자는 재입학이 안 됨
1학년 1학기 중 자퇴하면 등록금 일부 환불받음 + 생활패턴 망가질 가능성이 큼
관독 2학기부터 들어갈 예정
다녀도 학점은 안 챙길 거고
학교는 오직 열람실 이용을 위해 다닐 거임
2606 2609 성적표고
수능은 좆박음 (33223)
삼수할 건데
1학기 자퇴 vs 2학기 미등록 제적 (등록금납부x)
뭐가 낫냐?
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2603167
3,6,디시인사이드,시대인재,나키소는 모르겠고,"https://path.sdij.cloud
시대인재용 타이머 대충 완성함
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2604089
3,6,디시인사이드,시대인재,시대북스는,"시대인재 학원이랑 별개인거임?
자료 겹치고 이런거 있나",https://gall.dcinside.com/mgallery/board/view/?id=csatlecture&no=295280
3,6,디시인사이드,시대인재,시대인재 에코백 < ㅈㄴ 쓸모있음,딱 적당한 짐 들고다닐때 ㅈㄴ 편함,https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2603931
3,6,디시인사이드,시대인재,시대갤< 이거 ㄹㅇ 생기고서 시대인재 피드백 ㅈㄴ 빨라짐,"급식 좆같다고 시위하니까
1~2주 있다가
업체 바꾸더라",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2603880
3,6,디시인사이드,시대인재,시대인재에 스탠딩이없으니,여기도 없어도된다생각함,https://gall.dcinside.com/mgallery/board/view/?id=dshw&no=251982
3,6,디시인사이드,시대인재,지금 폐지함에서 책 주워갔다가 짤린거임?,"말이 됨? 버린건데 무슨 권리로 짜름
거기에 버렸다고 시대인재 재산이 되는 것도 아닌데",https://gall.dcinside.com/mgallery/board/view/?id=sdijn&no=2603581
3,6,디시인사이드,시대인재,잇올이 학생수 감소에도 대치에 빌딩 올리고 몰입관 런칭하는 이유는,"매출 땡겨서 상장하려고 그러는거임.
역대급 학생수 저점에도 시대인재까지 갈것도없이 디랩 오픈할때마다 주변 잇올 학생들 다털리는게 현실인데 몰입관 연달아 새로 여는게 다 이유가 있다.
잇올에서 지금 주는 서비스 퀄리티랑 별개로ㅇ..
지금 연매출 700억-750정도로 아는데
1000억이 목표다
동시에 인건비는 최대한 후려치고 있긴함
그래서 교과 퀄리티나 시스템도 땅으로 쳐박는거고
사감들 임금 원장/센터장빼고 다 최저시급 수준..
- dc official App",https://gall.dcinside.com/mgallery/board/view/?id=itall&no=588771
